pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-52 c,,1.84,,,4075.0,0.52,0.54,,321.542,1,3,2012
Kepler-80 f,0.0175,1.21,,,4540.0,0.678,0.73,-0.76955,369.451,1,6,2016
Kepler-164 c,0.097,2.73,,,5888.0,1.148,,,890.758,1,4,2014
Kepler-281 c,0.215,5.31,,,5723.0,0.899,,,1745.45,1,3,2014
L 98-59 b,0.0223,0.837,0.031,24.5,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019
Kepler-56 d,2.16,,0.2,,4819.44,4.21799,,,912.994,1,3,2016
WASP-21 b,0.052,11.99,0.0,,,,,,258.426,1,1,2010
Kepler-967 c,,3.65,,,5178.0,0.8,0.84,,568.546,1,2,2016
Kepler-522 b,,6.91,,,6392.0,1.98,1.54,,639.239,1,1,2016
Kepler-733 b,,2.82,,,5418.0,0.86,0.9,,916.706,1,1,2016
Kepler-903 c,,2.53,,,5682.0,0.97,0.98,,1369.24,1,2,2016
Kepler-138 b,0.0753,0.64,0.02,9.9,3841.0,0.535,0.535,-1.25181,66.8624,1,4,2014
Kepler-51 c,0.384,9.0,0.014,,6018.0,0.94,1.04,,783.831,1,4,2012
Kepler-53 c,,3.17,,,5858.0,0.89,0.98,,1366.07,1,3,2012
Kepler-136 c,0.133,1.99,,,6165.0,1.355,,,420.818,2,2,2014
Kepler-83 b,,2.83,,,,0.61,0.66,,400.409,2,3,2012
Kepler-957 b,,5.5,,,4963.0,0.75,0.81,,824.688,1,1,2016
Kepler-25 b,,2.748,0.0029,,,1.316,1.165,,243.249,2,3,2011
KOI-1843.03,,0.61,,,3584.0,0.45,0.46,,134.311,1,2,2013
Kepler-87 c,0.676,6.14,0.039,,5600.0,1.82,1.1,,1232.9,1,2,2013
Kepler-1868 b,,3.14950109,,,4658.0,0.686,0.743,,274.18,1,1,2021
Kepler-1720 b,,3.21585295,,,5573.0,0.839,0.939,,629.445,1,1,2021
Kepler-245 b,0.071,2.57,,,5100.0,0.795,,,861.527,1,4,2014
TOI-1444 b,0.0116,1.41792246,0.0,,5460.0,0.9105,0.9513,-0.17587,125.463,1,1,2021
Kepler-108 c,0.721,8.18,,,5854.0,2.192,,,338.732,2,2,2014
Kepler-46 d,0.067,1.64,,,5309.0,0.79,,,777.06,1,3,2014
Kepler-79 c,0.187,3.72,0.03,,6174.0,1.302,1.165,0.342,1020.72,1,4,2012
Kepler-27 c,0.191,4.9,,,5400.0,0.59,0.65,,1044.36,1,3,2011
TIC 88785435 b,0.08432,5.03,0.131,,3998.0,0.911,0.724,,122.386,1,1,2025
Kepler-83 d,0.051,1.94,,,4648.0,0.594,,,400.409,2,3,2014
Kepler-1002 b,,1.71,,,6144.0,1.57,1.22,,408.303,1,1,2016
KOI-134 c,0.2305,,0.24,,6160.0,1.667,1.407,0.62325,1159.21,1,2,2025
Kepler-139 b,0.127,2.94,,,5594.0,1.3,,,391.038,1,5,2014
Kepler-911 b,,2.6,,,6112.0,1.99,1.34,,556.168,1,1,2016
Kepler-1569 b,,1.68,,,6319.0,1.4,1.25,,945.454,1,1,2016
K2-101 b,0.1124,2.0,,,4927.0,0.76,0.82,,188.33,1,1,2016
CoRoT-6 b,0.0855,13.068,0.1,,6090.0,1.025,1.05,,645.294,1,1,2009
Kepler-1721 b,,3.11856756,,,5351.0,0.796,0.89,,641.374,1,1,2021
WASP-46 b,0.02335,13.159366,,,5600.0,0.858,0.828,,375.31,1,1,2011
Kepler-57 c,,2.196,0.0725,,5187.9,0.826,0.859,,644.14,1,2,2012
Kepler-978 b,,2.99,,,6002.0,1.09,1.07,,682.522,1,1,2016
KOI-94 e,0.3046,6.56,0.019,,6182.0,1.52,1.277,0.479,477.052,2,4,2013
Kepler-221 b,0.037,1.71,,,5243.0,0.821,,,385.231,1,4,2014
Kepler-725 b,0.2238,10.8,0.231,12.1,5395.0,0.88,0.95,,758.469,1,2,2016
Kepler-11 e,0.195,4.19,0.012,,5663.0,1.065,0.961,,646.346,1,6,2010
K2-335 b,,2.21,,,6222.0,1.33,1.23,,557.993,1,1,2021
TOI-4638.01,0.093013,2.933,,87.81,5700.0,0.895,1.02,,168.248,1,1,2024
V1298 Tau b,0.1688,10.27,0.29,35.0,,1.345,1.101,,108.199,3,4,2019
V1298 Tau c,0.0825,5.59,0.43,146.0,,1.345,1.101,,108.199,3,4,2019
V1298 Tau d,0.1083,6.41,0.21,85.0,,1.345,1.101,,108.199,3,4,2019
V1298 Tau e,,9.97599282,,,4941.0,1.43,1.26,0.03902,108.199,3,4,2019
Kepler-1998 b,0.0405,0.6,0.0,468.31,5640.0,0.921,0.962,,340.965,1,1,2023
