pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
WASP-163 b,0.0266,13.473218,,1200.0,5500.0,1.015,0.97,-0.07572,261.386,1,1,2018,0
HATS-37 A b,0.04913,6.792654,0.0,229.7,5326.0,0.877,0.843,-0.25571,211.896,2,1,2020,0
Kepler-1654 b,2.026,9.180171,0.26,0.3,5597.0,1.179,1.011,0.08991,568.117,1,1,2018,0
WASP-188 b,0.072,14.81827249,0.0,1278.0,6850.0,1.83,1.5,,675.281,1,1,2025,0
TOI-540 b,0.01223,0.903,0.0,23.4,3216.0,0.1895,0.159,-2.46092,14.0022,1,1,2020,0
K2-38 b,0.0503,1.655,0.11,490.0,5705.0,1.141,1.054,,192.69,1,2,2016,0
K2-58 d,0.1517,1.71,,24.6,5413.0,0.86,0.89,,181.746,1,3,2016,0
K2-69 b,0.0591,2.32,,17.9,4127.0,0.491,0.551,,180.697,1,1,2016,0
K2-70 b,0.1112,2.89,,62.0,5622.0,0.93,0.94,,232.964,1,1,2016,0
K2-125 b,0.121,2.18,0.08,2.0,3654.47,0.402049,0.494727,,124.156,1,1,2017,0
TOI-2346 b,0.0473,16.11851425,0.086,1360.0,6480.0,1.38,1.271,0.48144,437.484,1,1,2025,0
TOI-3474 b,0.0502,14.67255574,0.13,740.0,6020.0,1.256,1.121,0.26951,420.123,1,1,2025,0
TOI-3523 A b,0.03559,15.9727975,0.047,2590.0,6450.0,1.448,1.131,0.51455,645.294,3,1,2025,0
TOI-4559 b,0.0359,1.415,,15.77,3558.0,0.374,0.392,-1.6925,31.6354,1,1,2024,0
TOI-5181 A b,0.0522,13.34989601,0.15,1053.0,6060.0,1.53,1.25,0.45788,480.155,2,1,2025,0
TOI-4342 c,0.0814,2.415,,11.18,3901.0,0.599,0.6296,-1.12726,61.5204,1,2,2023,0
TOI-2134 b,0.078,2.69,0.06,32.0,4580.0,0.709,0.744,-0.7167,22.6202,1,2,2023,0
NGTS-16 b,0.0523,14.57167491,0.0,480.0,5550.0,1.213,1.002,,898.168,1,1,2021,0
HATS-38 b,0.05036,6.882326,0.0,464.7,5732.0,1.105,0.89,0.07151,343.525,1,1,2020,0
KPS-1 b,0.0269,11.54527,0.0,729.0,5165.0,0.907,0.892,,262.706,1,1,2018,0
Kepler-1990 b,0.0286,3.27,0.0,1372.87,5751.0,1.071,1.028,,392.739,1,2,2023,0
K2-72 b,0.04,1.08,0.11,8.5,3360.47,0.330989,0.271365,,66.4321,1,4,2016,0
TOI-6651 b,0.0633,5.09,0.091,817.0,5940.0,1.721,1.323,0.52244,212.128,1,1,2024,0
HD 101581 c,0.0573,0.99,,52.0,4675.0,0.63,0.653,,12.7781,1,2,2025,0
TOI-125 b,0.05186,2.726,0.194,185.0,5320.0,0.848,0.859,-0.28483,111.059,1,3,2019,0
TOI-715 b,0.083,1.55,,0.67,3075.0,0.24,0.225,,42.4048,1,1,2023,1
K2-73 b,0.07619,2.45,,213.0,5922.0,1.06,1.05,,269.183,1,1,2016,0
K2-75 b,0.081,2.67,,430.0,5995.0,1.56,1.16,,561.93,1,2,2016,0
K2-75 c,0.1429,2.77,,138.0,5995.0,1.56,1.16,,561.93,1,2,2016,0
K2-83 b,0.03014,1.244,,41.5,3910.0,0.424,0.484,,125.529,1,2,2016,0
K2-83 c,0.07131,1.483,,7.42,3910.0,0.424,0.484,,125.529,1,2,2016,0
KELT-23 A b,0.03302,14.829507,0.0,991.183,5899.0,0.996,0.944,0.03383,126.261,2,1,2019,0
TOI-2421 b,0.0543,10.36830715,0.0,923.6,5607.0,1.75,1.131,0.436,327.927,1,1,2022,0
K2-91 b,0.0164,1.1,,46.0,3622.0,0.284,0.292,,62.5785,1,1,2016,0
K2-285 c,0.0824,3.53,0.0,50.35,4975.0,0.787,0.83,,154.961,1,4,2018,0
TOI-2211.01,0.04011,1.561,,296.13,5253.0,0.834,0.9,,70.2932,1,1,2024,0
K2-291 b,0.03261,1.589,0.0,633.0,5520.0,0.899,0.934,-0.16622,90.0562,1,1,2019,0
HD 23472 e,0.068,0.818,0.07,46.7,4684.0,0.71,0.67,-0.62525,39.0341,1,5,2022,0
Kepler-1982 b,0.0511,0.77,0.0,638.38,6202.0,1.122,1.213,,558.855,1,1,2023,0
K2-419 A b,0.1208,10.55,0.042,3.3,3711.0,0.541,0.562,-1.27654,268.685,2,1,2024,0
TOI-4463 A b,0.04036,13.26022417,0.0,633.0,5640.0,1.062,1.056,0.01115,173.117,2,1,2023,0
TOI-237 b,0.0341,1.44,0.0,3.7,3212.0,0.211,0.179,-2.38722,38.0749,1,1,2020,0
K2-21 b,0.076,1.84,0.1,10.0,4222.06,0.646783,0.676023,,83.6448,1,2,2015,0
K2-72 d,0.05,1.01,0.11,5.4,3360.47,0.330989,0.271365,,66.4321,1,4,2016,0
K2-80 b,0.135,2.01,,32.5,5441.0,0.87,0.9,,200.802,1,3,2016,0
Kepler-2001 b,0.0197,1.04,0.0,911.28,5081.0,0.77,0.864,,776.55,1,2,2023,0
Kepler-1984 b,0.0238,6.81,0.0,48.82,3638.0,0.42,0.45,,,1,1,2023,0
TOI-4527.01,0.008332353,0.9086617,,571.5072,3702.0,0.485948,0.483901,,18.1037,1,1,2024,0
Kepler-1977 b,0.0486,1.66,0.0,95.61,4805.0,0.688,0.769,,592.711,1,1,2023,0
Kepler-296 c,0.0521,2.0,0.33,14.8,3740.0,0.48,0.498,,,2,5,2014,0
Kepler-296 f,0.255,1.8,0.33,0.62,3740.0,0.48,0.498,,,2,5,2014,0
Kepler-1649 c,,1.06,,0.75,3240.0,0.2317,0.1977,-2.28735,92.1913,1,2,2020,1
TOI-5344 b,0.04041,10.60369574,0.054,38.0,3747.0,0.588,0.612,-1.21254,138.367,1,1,2023,0
